Pick,Player,Nominator,Winner,,MAX,Pylons,Basteerds,Dook,Socal,Shaz,NoN,Lips,G' Stars,Dooms,Cin,3sheets,Hawt,,,Post draft work -->,UPDATE,STATUS,BY,,,TIEBREAK,,,,,,,
1.1,Miro Heiskanen D | DAL,3sheets,$14,,$14,$10,$5,,$6,$13,$13,$6,$8,$14,$6,$0,$8,,,,,,,,3sSE,Clayton Keller C • UTA,RFA,,,F,4,0,229.1
1.2,Cale Makar D | COL,The Pylons,$23,,$23,,$6,$6,,$22,$23,$12,$19,$16,$13,$0,$14,,,,,,,,Dook,Cale Makar D • COL,RFA,,,D,20,0,228.8
1.3,Nathan MacKinnon C | COL,New Oilers Nation,$23,,$23,$18,$8,$8,$0,$16,$23,$15,$10,$16,$18,$8,$18,,,,,,,,SoCal,Elias Pettersson C • VAN,RFA,,,F,13,0,226.6
1.4,Leon Draisaitl C | EDM,Shazam!!!,$19,,$19,$18,$9,$8,$0,$19,$12,$10,$12,$16,$16,$8,$0,,,,,,,,Pylons,Jason Robertson W • DAL,RFA,,,W,6,0,224.3
1.5,Elias Pettersson C | VAN,CinStars,$16,,$16,$16,$8,$8,$4,$9,$10,$10,$8,$9,,$0,$10,,,,,,,,NON,Tim Stutzle C • OTT,RFA,,,C,2,0,209
1.6,Juuse Saros G | NSH,Doomsday Machine,$9,,$9,$2,$3,$4,$2,$6,$6,$4,$3,$9,$0,$0,$4,,,,,,,,Shax,Brady Tkachuk W • OTT,RFA,,,W,5,0,203
1.7,Kyle Connor W | WPG,The Pylons,$9,,$9,$9,$7,$8,$4,$7,$4,$0,$5,$4,$8,$0,$6,,,,,,,,Dooms,Andrei Svechnikov W • CAR,RFA,,,W,16,0,176.9
1.8,Tim Stutzle C | OTT,HawtSawwce,$8,,$8,$2,$4,$6,$5,$7,$0,$8,$6,$5,$7,$8,,,,,,,,,Basteerds,Ukko-Pekka Luukkonen G • BUF,RFA,,,G,2,0,163.6
1.9,Dougie Hamilton D | NJ,G' Stars,$12,,$12,$9,$5,$6,$6,$7,$8,$9,$12,$4,$6,$0,$5,,,,,,,,G,Dustin Wolf G • CGY,RFA,,,G,2,0,158.8
1.10,Mitchell Marner W | TOR,The Pylons,$13,,$13,$13,$6,$6,$6,$13,$8,$5,$0,$12,$10,$8,$4,,,,,,,,Hawt,Drake Batherson W • OTT,RFA,,,W,3,0,157.4
