player,team,age,pos,GP,W,L,OTL,GA,SA,SV,SV%,GAA,SO,QS,RBS,VOR,Rank,Pts,,Fantasy Team,GP Org,,
Connor Hellebuyck,WPG,32,G,62,40,19,3,143,1794,1651,0.920,2.31,6,42,6,731,1,302,1,,62,,Use the button below to reset the GP for the Goalie Projections
Andrei Vasilevskiy,TBL,31,G,60,35,21,4,151,1730,1579,0.913,2.52,4,36,10,449,2,268,2,,60,,
Linus Ullmark,OTT,32,G,46,29,12,4,112,1367,1255,0.918,2.44,3,32,6,416,3,223,3,,46,,
Jake Oettinger,DAL,27,G,58,36,16,6,147,1644,1497,0.910,2.54,3,35,10,382,4,256,4,,58,,
Igor Shesterkin,NYR,30,G,59,33,21,5,156,1719,1564,0.909,2.64,4,34,12,307,6,258,5,,59,,
Ilya Sorokin,NYI,30,G,59,29,22,8,157,1780,1623,0.912,2.67,4,37,9,318,5,261,6,,59,,
Filip Gustavsson,MIN,27,G,49,26,17,6,127,1463,1336,0.913,2.60,4,30,8,249,7,221,7,,49,,
Anthony Stolarz,TOR,32,G,41,24,13,3,105,1246,1141,0.916,2.55,3,26,5,245,8,196,8,,41,,
Sergei Bobrovsky,FLA,37,G,55,31,19,3,142,1513,1371,0.906,2.57,4,33,10,225,9,228,9,,55,,
Darcy Kuemper,LAK,35,G,50,25,18,6,129,1413,1284,0.909,2.58,4,29,8,173,10,208,10,,50,,
Juuse Saros,NSH,30,G,61,28,26,6,170,1809,1639,0.906,2.78,3,34,11,168,11,252,11,,61,,
Logan Thompson,WSH,28,G,43,27,12,5,115,1277,1162,0.910,2.67,2,26,5,142,13,197,12,,43,,
Stuart Skinner,EDM,27,G,53,30,17,5,144,1506,1362,0.904,2.72,2,30,11,113,14,220,13,,53,,
Frederik Andersen,CAR,36,G,42,26,14,2,104,1103,999,0.906,2.46,3,25,9,109,15,172,14,,42,,
Adin Hill,VEG,29,G,45,27,14,4,113,1231,1118,0.908,2.52,3,25,8,161,12,189,15,,45,,
Dustin Wolf,CGY,24,G,50,26,17,7,138,1468,1330,0.906,2.76,2,28,7,75,17,211,16,,50,,
Joey Daccord,SEA,29,G,46,22,19,6,124,1346,1222,0.908,2.69,2,28,7,52,18,191,17,,46,,
Joseph Woll,TOR,27,G,41,25,15,2,114,1249,1135,0.909,2.78,1,24,6,48,19,187,18,,41,,
Jordan Binnington,STL,32,G,57,28,23,5,165,1686,1521,0.902,2.90,3,31,11,26,20,231,19,,57,,
Thatcher Demko,VAN,30,G,45,24,16,4,123,1292,1170,0.905,2.73,3,24,9,5,23,187,20,,45,,
Jeremy Swayman,BOS,27,G,48,24,18,6,132,1384,1252,0.905,2.75,4,27,9,18,21,197,21,,48,,
Leevi Merilainen,OTT,23,G,30,18,10,3,74,824,751,0.910,2.46,4,18,7,13,22,131,22,,30,,
Jacob Markstrom,NJD,36,G,53,25,20,7,143,1418,1276,0.899,2.69,3,28,9,-35,26,194,23,,53,,
Mackenzie Blackwood,2TM,29,G,50,23,22,5,144,1510,1366,0.905,2.88,3,30,9,-27,25,206,24,,50,,
Pyotr Kochetkov,CAR,26,G,38,21,13,4,96,995,899,0.903,2.53,3,21,8,-51,27,148,25,,38,,
Cam Talbot,DET,38,G,41,21,17,4,116,1205,1090,0.904,2.82,2,24,8,-111,29,169,26,,41,,
Sam Montembeault,MTL,29,G,50,23,21,6,150,1526,1376,0.902,3.00,2,29,10,-110,28,204,27,,50,,
Laurent Brossoit,WPG,32,G,20,12,5,3,49,597,547,0.917,2.47,1,13,3,0,24,96,28,,20,,
Spencer Knight,2TM,24,G,45,22,19,5,130,1321,1190,0.901,2.89,2,24,8,-151,30,180,29,,45,,
Karel Vejmelka,UTA,29,G,49,21,22,6,148,1492,1344,0.901,3.02,2,24,10,-169,32,195,30,,49,,
Charlie Lindgren,WSH,32,G,38,20,14,4,108,1097,990,0.902,2.83,2,20,5,-184,33,153,31,,38,,
Kevin Lankinen,VAN,30,G,34,18,12,5,95,1006,911,0.905,2.80,2,20,7,-167,31,144,32,,34,,
Ilya Samsonov,VEG,28,G,34,20,9,5,94,948,854,0.901,2.75,3,19,7,-199,34,138,33,,34,,
Yaroslav Askarov,SJS,23,G,45,20,20,6,130,1291,1160,0.899,2.90,2,25,10,-217,37,168,34,,45,,
Scott Wedgewood,2TM,33,G,27,15,9,4,74,793,719,0.906,2.76,1,15,4,-214,35,116,35,,27,,
Ukko-Pekka Luukkonen,BUF,26,G,49,24,20,5,148,1416,1268,0.896,3.01,2,26,11,-232,38,186,36,,49,,
Joel Hofer,STL,25,G,26,14,9,2,71,752,682,0.906,2.71,1,16,4,-216,36,109,37,,26,,
Semyon Varlamov,NYI,37,G,24,11,9,4,66,716,650,0.908,2.74,2,14,4,-237,39,102,38,,24,,
Lukas Dostal,ANA,25,G,48,20,24,6,158,1617,1459,0.902,3.29,1,26,7,-248,40,207,39,,48,,
Jet Greaves,CBJ,24,G,35,19,13,4,93,1098,1005,0.915,2.66,3,22,5,82,16,167,40,,35,,
Jakub Dobes,MTL,24,G,25,12,8,4,68,715,647,0.905,2.72,2,14,4,-267,41,101,41,,25,,
David Rittich,LAK,33,G,29,15,12,2,79,785,707,0.900,2.71,1,16,5,-292,43,110,42,,29,,
Carter Hart,PHI,27,G,25,11,10,4,71,759,688,0.906,2.85,1,12,5,-307,44,104,43,,25,,
Calvin Pickard,EDM,33,G,22,14,8,1,60,619,558,0.903,2.74,1,13,4,-311,45,92,44,,22,,
Connor Ingram,UTA,28,G,34,14,14,5,102,1032,930,0.901,3.00,2,17,7,-353,46,135,45,,34,,
Anton Forsberg,OTT,33,G,31,14,13,2,92,909,818,0.899,2.95,3,15,8,-389,48,122,46,,31,,
Tristan Jarry,PIT,30,G,25,12,9,3,71,721,650,0.902,2.84,2,14,5,-370,47,98,47,,25,,
Joonas Korpisalo,BOS,31,G,32,15,14,3,99,982,883,0.899,3.08,1,17,6,-421,51,129,48,,32,,
Casey DeSmith,DAL,34,G,20,10,8,3,59,626,567,0.905,2.97,1,11,4,-417,50,87,49,,20,,
Alex Lyon,DET,33,G,20,11,7,2,58,597,539,0.903,2.90,1,11,4,-422,52,83,50,,20,,
Samuel Ersson,PHI,26,G,39,19,15,4,113,1033,920,0.890,2.91,2,19,10,-428,53,134,51,,39,,
John Gibson,ANA,32,G,42,14,22,4,137,1367,1229,0.900,3.27,1,23,9,-401,49,165,52,,42,,
Pheonix Copley,LAK,34,G,16,10,4,2,44,443,399,0.901,2.76,1,9,4,-440,54,65,53,,16,,
Philipp Grubauer,SEA,34,G,35,15,17,3,102,946,844,0.892,2.92,1,17,9,-476,57,117,54,,35,,
Alex Nedeljkovic,PIT,30,G,32,15,12,5,101,991,890,0.898,3.17,1,16,7,-472,56,127,55,,32,,
