Player,Age,Pos,Team,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHP,Hits,BLK,PIM,FOW,FOL,SOG,VOR,Rank,Unadj VOR,Pts,Fantasy Team,,
Connor McDavid,29,C,EDM,18.40,3.50,0.15,76,76,18.40,3.50,0.15,22.05,35,89,124,10,35,45,0,64,31,27,419,439,235,1158,2,1924,490,,,Use the button below to reset the TOI for the Skater Projections
Nathan MacKinnon,30,C,COL,18.63,3.68,0.05,82,82,18.63,3.68,0.05,22.35,38,78,116,9,27,36,0,45,62,33,703,735,322,1114,3,1880,563,,,
Leon Draisaitl,30,"C,LW",EDM,17.81,3.40,0.17,80,80,17.81,3.40,0.17,21.38,44,66,110,19,21,40,0,38,33,37,711,594,232,1087,5,1712,471,,,
Nikita Kucherov,32,RW,TB,17.02,3.59,0.01,77,77,17.02,3.59,0.01,20.61,31,77,108,8,35,43,0,31,33,29,1,1,239,963,8,1690,464,,,
David Pastrnak,29,RW,BOS,16.45,3.30,0.02,82,82,16.45,3.30,0.02,19.78,43,57,100,11,18,29,0,65,26,32,4,7,316,873,12,1600,517,,,
Jack Hughes,24,"C,LW",NJ,17.23,3.22,0.59,81,81,17.23,3.22,0.59,21.03,37,62,99,9,28,37,1,12,40,14,283,475,301,1010,6,1635,509,,,
Kirill Kaprizov,28,LW,MIN,18.82,3.25,0.01,79,79,18.82,3.25,0.01,22.08,43,54,97,14,18,32,0,44,38,31,0,3,265,881,11,1507,474,,,
Artemi Panarin,34,LW,NYR,16.19,2.98,0.01,81,81,16.19,2.98,0.01,19.17,33,60,93,8,23,31,0,20,14,21,1,3,229,720,16,1345,415,,,
Mitch Marner,28,RW,TOR,16.13,2.89,2.08,80,80,16.13,2.89,2.08,21.10,26,67,93,6,23,29,2,53,48,19,8,20,168,462,37,1188,365,,,Use the button below to reset the GP for the Skater Projections
Auston Matthews,28,C,TOR,16.01,2.92,1.32,80,80,16.01,2.92,1.32,20.26,48,42,90,15,13,28,2,65,100,16,731,576,310,701,20,1467,530,,,
Cale Makar,27,D,COL,19.74,3.67,2.19,81,81,19.74,3.67,2.19,25.61,25,63,88,8,26,34,2,49,127,20,0,0,244,1270,1,1316,461,,,
Matthew Tkachuk,28,"LW,RW",FLA,14.86,3.27,0.11,80,80,14.86,3.27,0.11,18.24,33,53,86,13,18,31,0,122,26,67,3,7,243,656,22,1281,422,,,
Mikko Rantanen,29,"LW,RW",DAL,17.43,3.72,0.02,80,80,17.43,3.72,0.02,21.17,36,50,86,11,19,30,0,51,45,51,160,144,221,615,24,1240,412,,,
Sidney Crosby,38,C,PIT,16.69,2.99,0.07,81,81,16.69,2.99,0.07,19.74,32,53,85,9,14,23,0,71,42,33,955,734,223,368,52,1134,400,,,
Jason Robertson,26,"LW,RW",DAL,15.00,2.96,0.00,82,82,15.00,2.96,0.00,17.96,32,53,85,11,19,30,0,62,38,18,5,9,217,581,26,1206,400,,,
Quinn Hughes,26,D,VAN,21.68,3.69,0.28,78,78,21.68,3.69,0.28,25.65,15,68,83,4,30,34,0,19,74,31,0,0,206,1104,4,1150,389,,,
William Nylander,29,"C,RW",TOR,15.96,3.07,0.28,82,82,15.96,3.07,0.28,19.32,36,47,83,9,19,28,0,19,30,21,69,72,249,501,34,1228,425,,,
Brandon Hagel,27,"LW,RW",TB,16.06,3.03,1.86,82,82,16.06,3.03,1.86,20.94,34,48,82,5,11,16,5,63,57,55,13,23,203,358,54,983,379,,,
Robert Thomas,26,C,STL,16.26,2.49,1.40,82,82,16.26,2.49,1.40,20.15,23,59,82,5,17,22,1,17,53,28,813,682,153,162,92,928,327,,,
Clayton Keller,27,"LW,RW",UTA,15.85,3.29,0.03,82,82,15.85,3.29,0.03,19.16,31,51,82,8,22,30,0,15,33,28,15,24,213,532,30,1158,389,,,
Macklin Celebrini,19,C,SJ,17.08,3.35,0.17,82,82,17.08,3.35,0.17,20.60,36,45,81,14,15,29,0,44,64,32,580,626,293,526,31,1292,476,,,
Jack Eichel,29,C,VGK,15.91,2.79,1.63,79,79,15.91,2.79,1.63,20.34,30,51,81,6,19,25,2,32,68,12,539,644,246,374,51,1140,425,,,
Jesper Bratt,27,"LW,RW",NJ,14.66,2.81,1.35,82,82,14.66,2.81,1.35,18.82,27,54,81,6,22,28,2,82,41,11,1,5,194,448,40,1073,368,,,
Tim Stutzle,24,"C,LW",OTT,16.63,3.43,0.20,82,82,16.63,3.43,0.20,20.25,26,54,80,6,23,29,0,127,48,34,208,233,178,415,46,1041,354,,,
Kyle Connor,29,LW,WPG,16.58,2.77,0.60,82,82,16.58,2.77,0.60,19.96,34,46,80,8,17,25,1,24,38,16,1,5,242,509,33,1134,412,,,
Sebastian Aho (F),28,C,CAR,14.79,3.29,1.69,80,80,14.79,3.29,1.69,19.77,32,47,79,8,18,26,4,59,28,35,615,511,211,306,59,1072,378,,,
