PLAYER,POS,TEAM,GP,G,A,Points
Connor McDavid,C,EDM,80,40,84,124
Leon Draisaitl,C,EDM,82,48,70,118
Nathan MacKinnon,C,COL,77,40,68,108
Auston Matthews,C,TOR,79,61,47,108
Mitchell Marner,W,TOR,78,32,69,101
Mikko Rantanen,W,COL,74,40,58,98
Jonathan Huberdeau,W,CGY,81,31,66,97
Kirill Kaprizov,W,MIN,77,44,51,95
J.T. Miller,W,VAN,81,36,58,94
Steven Stamkos,W,TB,76,43,50,93
Artemi Panarin,W,NYR,78,30,62,92
Nikita Kucherov,W,TB,64,35,56,91
Aleksander Barkov,C,FLA,77,36,53,89
Filip Forsberg,W,NSH,75,41,47,88
Sebastian Aho,C,CAR,81,38,48,86
Patrick Kane,W,CHI,81,32,54,86
Cale Makar,D,COL,76,23,63,86
Sidney Crosby,C,PIT,74,31,55,86
Johnny Gaudreau,W,CBJ,82,29,56,85
Mika Zibanejad,C,NYR,79,38,47,85
Kyle Connor,W,WPG,82,44,41,85
Matthew Tkachuk,W,FLA,82,33,51,84
David Pastrnak,W,BOS,78,38,43,81
Kevin Fiala,W,LAK,80,34,47,81
Jack Hughes,C,NJD,74,33,48,81
Alex Ovechkin,W,WAS,78,38,42,80
Jake Guentzel,W,PIT,75,36,43,79
Pavel Buchnevich,W,STL,79,33,46,79
Victor Hedman,D,TB,81,17,61,78
Gabriel Landeskog,W,COL,72,33,44,77
Andrei Svechnikov,W,CAR,81,30,46,76
Sam Reinhart,C,FLA,81,34,42,76
Bryan Rust,W,PIT,75,35,41,76
Mark Scheifele,C,WPG,79,30,46,76
Elias Lindholm,W,CGY,82,31,44,75
Jason Robertson,W,DAL,75,35,40,75
John Carlson,D,WAS,80,17,58,75
Ondrej Palat,W,NJD,81,24,50,74
Mats Zuccarello,W,MIN,76,23,50,73
Adam Fox,D,NYR,81,20,53,73
Roope Hintz,C,DAL,77,31,41,72
Roman Josi,D,NSH,80,18,54,72
Andre Burakovsky,W,SEA,79,29,43,72
Brayden Point,C,TB,78,32,40,72
Evgeny Kuznetsov,C,WAS,77,23,49,72
Blake Wheeler,W,WPG,78,23,49,72
Teuvo Teravainen,W,CAR,74,24,46,70
Dylan Larkin,C,DET,78,28,42,70
Vladimir Tarasenko,W,STL,70,34,36,70
Robert Thomas,C,STL,75,18,52,70
Quinn Hughes,D,VAN,80,19,51,70
Patrice Bergeron,C,BOS,78,30,38,68
Joe Pavelski,W,DAL,81,32,36,68
Anze Kopitar,C,LAK,82,21,47,68
Alex DeBrincat,W,OTT,81,36,32,68
Josh Norris,C,OTT,75,38,29,68
William Nylander,W,TOR,80,26,41,67
