NAME,POS,GP,G,A,PTS
Connor McDavid,C,81,43,82,125
Leon Draisaitl,C/LW,82,48,63,111
Auston Matthews,C,80,59,45,104
Nathan MacKinnon,C,77,36,64,100
Nikita Kucherov,RW,74,36,63,99
Kirill Kaprizov,LW,82,44,51,95
Mitchell Marner,RW,79,29,63,93
Artemi Panarin,LW,78,27,66,93
Mikko Rantanen,C/RW,77,38,53,91
Aleksander Barkov,C,78,37,53,90
Jonathan Huberdeau,LW,81,28,62,90
Kyle Connor,LW,81,44,44,88
Johnny Gaudreau,LW,82,31,56,86
Steven Stamkos,C/LW,77,37,49,86
Matthew Tkachuk,RW,82,34,52,86
Sidney Crosby,C,76,31,55,86
David Pastrnak,RW,79,41,44,85
Patrick Kane,RW,81,26,58,84
J.T. Miller,C/LW,81,28,55,84
Jake Guentzel,LW,77,38,46,83
Alex Ovechkin,LW,79,48,34,82
Brayden Point,C,79,36,44,80
Mika Zibanejad,C,80,34,45,79
Sebastian Aho,C,81,36,43,79
Cale Makar,D,77,21,58,79
Mark Scheifele,C,79,31,47,78
Jason Robertson,LW,75,35,42,77
William Nylander,LW/RW,81,33,43,76
Filip Forsberg,LW,76,35,41,76
Timo Meier,LW/RW,81,34,42,76
John Tavares,C,81,30,45,75
Elias Pettersson,C/LW,76,33,42,75
Victor Hedman,D,81,16,58,74
Jack Eichel,C,76,30,44,74
Robert Thomas,C,75,20,53,74
Evgeny Kuznetsov,C,78,24,50,73
Elias Lindholm,C,82,34,39,73
Sam Reinhart,C/RW,81,33,40,73
Vladimir Tarasenko,RW,74,30,43,73
Jack Hughes,C,75,30,43,73
Andrei Svechnikov,LW,81,30,43,73
John Carlson,D,81,16,56,72
Mark Stone,RW,73,25,46,72
Roman Josi,D,80,18,54,72
Kevin Fiala,LW/RW,80,30,42,72
Gabriel Landeskog,C/LW,74,32,39,71
Roope Hintz,C,78,33,38,71
Nikolaj Ehlers,LW/RW,77,33,38,71
Mats Zuccarello,RW,77,23,47,70
Anze Kopitar,C,82,21,49,70
Trevor Zegras,C,77,26,45,70
Matt Duchene,RW,77,32,38,70
Patrik Laine,LW/RW,75,33,37,70
Adam Fox,D,81,11,58,69
Nick Suzuki,C,82,25,45,69
Jordan Kyrou,LW/RW,76,26,43,69
Evgeni Malkin,C,68,25,44,69
Pavel Buchnevich,LW/RW,80,28,41,69
Mathew Barzal,C,80,22,47,68
Jesper Bratt,RW,78,24,44,68
Alex DeBrincat,LW,81,35,33,68
Lucas Raymond,RW,80,27,41,67
Quinn Hughes,D,81,9,58,67
Tomas Hertl,C,78,30,37,67
Dylan Larkin,C,78,28,39,67
Joe Pavelski,C/RW,82,28,38,67
Tim Stützle,C/LW,80,26,41,67
Patrice Bergeron,C,79,29,37,67
Brady Tkachuk,LW,81,30,36,66
Chris Kreider,LW/RW,80,40,25,65
Bryan Rust,RW,76,30,35,65
Ryan O'Reilly,C,81,23,41,64
Matty Beniers,C,78,25,39,63
Nick Schmaltz,C/RW,78,22,42,63
Teuvo Teravainen,LW/RW,74,20,43,63
Kris Letang,D,80,13,50,63
Evander Kane,LW,78,31,31,63
Cole Caufield,LW/RW,76,32,31,63
Troy Terry,RW,78,29,33,62
Tage Thompson,C,78,33,29,62
Brad Marchand,LW,57,24,38,62
Jonathan Marchessault,LW/RW,80,27,35,62
Josh Norris,C,78,33,28,61
Pierre-Luc Dubois,C,80,27,34,61
Blake Wheeler,RW,78,19,41,60
David Perron,RW,79,25,35,60
Andre Burakovsky,LW/RW,80,24,36,60
Ryan Nugent-Hopkins,C/LW,77,21,39,60
Nazem Kadri,C,78,22,38,60
Matt Boldy,LW/RW,77,23,36,60
Vincent Trocheck,C,79,23,37,59
Clayton Keller,LW/RW,72,24,35,59
Claude Giroux,C/RW,80,20,38,59
Brock Nelson,C,80,32,27,59
Taylor Hall,LW,81,19,39,58
Travis Konecny,RW,80,21,37,58
Nico Hischier,C,72,22,35,58
Drake Batherson,RW,72,24,33,57
Morgan Rielly,D,79,10,47,57
Tyler Seguin,C/RW,80,25,32,57
Bo Horvat,C,80,28,29,57
Jakub Voracek,LW/RW,81,11,46,57
Aaron Ekblad,D,74,16,40,57
Logan Couture,C,78,24,32,57
Zach Werenski,D,74,17,39,57
Zach Hyman,LW/RW,76,28,29,56
Tyler Bertuzzi,LW/RW,70,27,30,56
Mikael Granlund,C,80,18,38,56
Sean Couturier,C,70,23,33,56
Valeri Nichushkin,LW/RW,78,26,30,56
Anton Lundell,C,75,23,33,56
Ryan Strome,C,81,20,36,56
