Player,Pos,Team,Games,Goals,Assists,Points
Connor McDavid,C,EDM,80,45,85,130
Leon Draisaitl,RD,COL,72,24,60,84
Jonathan Huberdeau,LD,NSH,78,19,63,82
Kirill Kaprizov,C,EDM,82,51,63,114
Nikita Kucherov,C,TOR,78,64,43,107
Auston Matthews,LW,MIN,82,50,58,108
Johnny Gaudreau,LD,TBL,80,19,56,75
Artemi Panarin,RW,TBL,77,40,68,108
Mitchell Marner,LW,CGY,81,30,80,110
Nathan MacKinnon,RD,NYR,80,11,65,76
J.T. Miller,LW,CBJ,82,37,65,102
Kyle Connor,RD,WAS,79,17,52,69
Aleksander Barkov,C,COL,73,41,55,96
Matthew Tkachuk,RW,TOR,75,33,65,98
Mikko Rantanen,LW,WPG,81,45,48,93
Alex DeBrincat,LW,NYR,78,27,73,100
Sidney Crosby,C,FLA,74,38,54,92
Sebastian Aho,LD,TOR,79,11,57,68
Patrick Kane,LD,VAN,79,9,60,69
Cale Makar,RD,FLA,68,16,46,62
Jason Robertson,C,VAN,80,30,63,93
Jake Guentzel,LW,FLA,82,33,57,90
Mark Scheifele,LW,OTT,81,38,50,88
Andrei Svechnikov,RD,PIT,75,13,49,62
Roman Josi,C,CAR,80,38,46,84
Steven Stamkos,C,PIT,77,35,52,87
Kevin Fiala,RW,COL,71,34,54,88
David Pastrnak,LD,VGK,80,15,45,60
Alex Ovechkin,LW,DAL,75,40,43,83
Elias Lindholm,LW,PIT,77,41,42,83
Robert Thomas,C/RW,TBL,73,41,41,82
Pavel Buchnevich,LW,WAS,78,48,31,79
John Tavares,RW,BOS,76,44,36,80
Clayton Keller,LD,COL,76,11,48,59
Jack Hughes,RW,CAR,80,31,51,82
Sam Reinhart,RW,CBJ,75,43,33,76
Mats Zuccarello,RW,CHI,81,32,52,84
Jesper Bratt,LW/RW,LAK,78,35,46,81
Adam Fox,C,WPG,78,32,51,83
Patrik Laine,LW,NYR,77,47,24,71
Filip Forsberg,RW,FLA,80,37,39,76
Timo Meier,C,CGY,82,32,46,78
Victor Hedman,LD,CBJ,71,14,41,55
Nazem Kadri,RD,PHI,72,12,45,57
Mika Zibanejad,LW/RW,STL,78,29,49,78
William Nylander,C,NYR,77,34,40,74
Elias Pettersson,LD,DAL,77,11,44,55
Joe Pavelski,C,NJD,69,34,43,77
Anze Kopitar,LW,ARI,77,31,46,77
Brady Tkachuk,RD,NYI,79,14,39,53
Jordan Kyrou,LW,WPG,73,35,38,73
Jack Eichel,LW,NSH,70,35,40,75
Nikolaj Ehlers,LD,BUF,78,10,46,56
Gabriel Landeskog,RW,TOR,79,35,39,74
Mathew Barzal,C,TOR,73,26,46,72
Nick Suzuki,C/LW,VAN,78,33,41,74
Vladimir Tarasenko,LW/RW,EDM,76,36,32,68
Chris Kreider,LW,COL,64,32,36,68
Roope Hintz,C/LW,VGK,76,32,41,73
Jonathan Marchessault,C,STL,72,19,59,78
Quinn Hughes,LW,SJS,80,34,41,75
John Carlson,RW,NJD,74,26,50,76
Tage Thompson,RD,DET,82,8,46,54
Nick Schmaltz,C/LW,DAL,73,30,40,70
Dylan Larkin,RW,MIN,73,22,54,76
David Perron,LD,OTT,73,12,39,51
Evander Kane,C,CGY,72,27,48,75
Cole Caufield,RW,STL,74,32,39,71
Josh Norris,LW,OTT,81,29,44,73
Drake Batherson,C/RW,DAL,81,24,49,73
Morgan Rielly,RD,LAK,68,12,37,49
Trevor Zegras,RW,STL,75,26,47,73
Matt Duchene,LD,CGY,79,11,38,49
Brayden Point,LD,ARI,68,17,30,47
Evgeny Kuznetsov,RW,VGK,78,29,41,70
Blake Wheeler,RD,EDM,80,13,35,48
Teuvo Teravainen,RW,DET,77,31,37,68
Evgeni Malkin,C,BUF,74,34,35,69
Ryan O'Reilly,RD,NJD,81,11,39,50
Mark Stone,C,OTT,77,33,35,68
Brad Marchand,C,LAK,82,21,52,73
Jack Roslovic,RD,CAR,82,12,36,48
Lucas Raymond,RW,MON,76,32,36,68
