POS RANK,PLAYER,POS,TEAM,GP,G,A,Points
C,Connor McDavid,C,EDM,80,40,84,124
C,Leon Draisaitl,C,EDM,82,48,70,118
C,Nathan MacKinnon,C,COL,77,40,68,108
C,Auston Matthews,C,TOR,79,61,47,108
W,Mitchell Marner,W,TOR,78,32,69,101
W,Mikko Rantanen,W,COL,74,40,58,98
W,Jonathan Huberdeau,W,CGY,81,31,66,97
W,Kirill Kaprizov,W,MIN,77,44,51,95
W,J.T. Miller,W,VAN,81,36,58,94
W,Steven Stamkos,W,TB,76,43,50,93
W,Artemi Panarin,W,NYR,78,30,62,92
W,Nikita Kucherov,W,TB,64,35,56,91
C,Aleksander Barkov,C,FLA,77,36,53,89
W,Filip Forsberg,W,NSH,75,41,47,88
C,Sebastian Aho,C,CAR,81,38,48,86
W,Patrick Kane,W,CHI,81,32,54,86
D,Cale Makar,D,COL,76,23,63,86
C,Sidney Crosby,C,PIT,74,31,55,86
W,Johnny Gaudreau,W,CBJ,82,29,56,85
C,Mika Zibanejad,C,NYR,79,38,47,85
W,Kyle Connor,W,WPG,82,44,41,85
W,Matthew Tkachuk,W,FLA,82,33,51,84
W,David Pastrnak,W,BOS,78,38,43,81
W,Kevin Fiala,W,LAK,80,34,47,81
C,Jack Hughes,C,NJD,74,33,48,81
W,Alex Ovechkin,W,WAS,78,38,42,80
W,Jake Guentzel,W,PIT,75,36,43,79
W,Pavel Buchnevich,W,STL,79,33,46,79
D,Victor Hedman,D,TB,81,17,61,78
W,Gabriel Landeskog,W,COL,72,33,44,77
W,Andrei Svechnikov,W,CAR,81,30,46,76
C,Sam Reinhart,C,FLA,81,34,42,76
W,Bryan Rust,W,PIT,75,35,41,76
C,Mark Scheifele,C,WPG,79,30,46,76
W,Elias Lindholm,W,CGY,82,31,44,75
W,Jason Robertson,W,DAL,75,35,40,75
D,John Carlson,D,WAS,80,17,58,75
W,Ondrej Palat,W,NJD,81,24,50,74
W,Mats Zuccarello,W,MIN,76,23,50,73
D,Adam Fox,D,NYR,81,20,53,73
C,Roope Hintz,C,DAL,77,31,41,72
D,Roman Josi,D,NSH,80,18,54,72
W,Andre Burakovsky,W,SEA,79,29,43,72
C,Brayden Point,C,TB,78,32,40,72
C,Evgeny Kuznetsov,C,WAS,77,23,49,72
W,Blake Wheeler,W,WPG,78,23,49,72
W,Teuvo Teravainen,W,CAR,74,24,46,70
C,Dylan Larkin,C,DET,78,28,42,70
W,Vladimir Tarasenko,W,STL,70,34,36,70
C,Robert Thomas,C,STL,75,18,52,70
D,Quinn Hughes,D,VAN,80,19,51,70
C,Patrice Bergeron,C,BOS,78,30,38,68
W,Joe Pavelski,W,DAL,81,32,36,68
C,Anze Kopitar,C,LAK,82,21,47,68
W,Alex DeBrincat,W,OTT,81,36,32,68
C,Josh Norris,C,OTT,75,38,29,68
W,William Nylander,W,TOR,80,26,41,67
W,Patrik Laine,W,CBJ,75,35,31,67
C,Ryan Nugent-Hopkins,C,EDM,76,24,42,66
W,Jesper Bratt,W,NJD,77,24,42,66
C,Mathew Barzal,C,NYI,80,19,47,66
W,Chris Kreider,W,NYR,79,28,38,66
W,Timo Meier,W,SJ,81,31,35,66
C,Ryan O'Reilly,C,STL,81,23,43,66
W,Mark Stone,W,VGK,72,25,41,66
W,Jordan Kyrou,W,STL,72,24,41,66
C,Elias Pettersson,C,VAN,75,28,37,65
C,Evgeni Malkin,C,PIT,66,24,40,65
C,Ryan Strome,C,ANA,80,23,40,64
W,Jakub Voracek,W,CBJ,81,17,46,63
D,Kris Letang,D,PIT,79,14,49,63
C,John Tavares,C,TOR,75,27,36,63
W,Brad Marchand,W,BOS,59,26,36,62
C,Brock Nelson,C,NYI,80,33,29,62
C,Brayden Schenn,C,STL,78,26,36,62
C,Chandler Stephenson,C,VGK,79,23,39,62
W,Clayton Keller,W,ARI,79,23,38,61
C,Nick Schmaltz,C,ARI,77,20,41,61
D,Aaron Ekblad,D,FLA,73,20,41,61
C,Tomas Hertl,C,SJ,76,28,33,61
W,David Perron,W,DET,79,24,36,60
C,Nick Suzuki,C,MTL,82,21,39,60
W,Mike Hoffman,W,MTL,78,28,32,60
C,Matt Duchene,C,NSH,76,26,34,60
W,Travis Konecny,W,PHI,79,23,37,60
W,Alex Killorn,W,TB,82,25,35,60
C,Jack Eichel,C,VGK,65,25,35,60
C,Nazem Kadri,C,CGY,76,25,34,59
W,Evander Kane,W,EDM,73,31,28,59
W,Brady Tkachuk,W,OTT,82,27,32,59
D,Tony Deangelo,D,PHI,68,13,46,59
W,Nikolaj Ehlers,W,WPG,76,27,32,59
W,Troy Terry,W,ANA,75,25,33,58
