Pick,Stage,Stage Round,Sequence,Nominator,Player,Position,Status,Winner / Outcome,Salary,Contract Years,Decision,Tie Break,Created At
1,Superstar,1,1,The Pylons,Nathan MacKinnon,C,UFA,The Dook of Sook,22,3,Sold,Yes,2026-09-24 02:23:54.041404+00
2,Superstar,1,2,The Inglorious Basteeerds,Jack Hughes,C,RFA,HawtSawwce,10,3,RFA Match,Yes,2026-09-24 02:28:24.018187+00
3,Superstar,1,3,HawtSawwce,Nikita Kucherov,W,UFA,HawtSawwce,18,3,Sold,No,2026-09-24 02:33:35.45632+00
4,Superstar,1,4,Jeff's Jackass's,Sebastian Aho,C,UFA,Jeff's Jackass's,12,3,Sold,Yes,2026-09-24 02:34:58.795394+00
5,Superstar,1,5,South Calgary Oilers,Jake Sanderson,D,RFA,3sheets Sports Entertainment,10,3,RFA Match,Yes,2026-09-24 02:36:27.183027+00
6,Superstar,1,6,3sheets Sports Entertainment,Martin Necas,W,UFA,The Inglorious Basteeerds,13,3,Sold,No,2026-09-24 02:39:54.068451+00
7,Superstar,1,7,3sheets Sports Entertainment,Nick Suzuki,C,RFA,G' Stars,10,3,RFA Match,Yes,2026-09-24 02:41:57.563217+00
8,Superstar,1,8,Shazam!!!,Zach Werenski,D,UFA,The Pylons,17,3,Sold,Yes,2026-09-24 02:45:06.66423+00
9,Superstar,1,9,G' Stars,William Nylander,W,UFA,re-degeneration X 2.0,10,3,Sold,No,2026-09-24 02:47:08.546869+00
10,Superstar,1,10,LIP's Lasers,Matthew Tkachuk,W,UFA,The Inglorious Basteeerds,8,3,Sold,Yes,2026-09-24 02:48:37.829848+00
11,Superstar,1,11,re-degeneration X 2.0,Wyatt Johnston,C,RFA,3sheets Sports Entertainment,10,3,RFA Match,No,2026-09-24 02:50:24.958307+00
12,Superstar,1,12,New Oilers Nation,Cole Caufield,W,RFA,The Dook of Sook,12,3,RFA Pass,No,2026-09-24 02:53:39.713447+00
13,UFA Round 1,1,1,The Pylons,Logan Thompson,G,UFA,Jeff's Jackass's,6,3,Sold,Yes,2026-09-24 02:57:22.125719+00
14,UFA Round 1,1,2,The Inglorious Basteeerds,Brandon Hagel,W,UFA,New Oilers Nation,8,3,Sold,No,2026-09-24 02:58:56.660049+00
15,UFA Round 1,1,3,HawtSawwce,Mikhail Sergachev,D,UFA,re-degeneration X 2.0,10,3,Sold,No,2026-09-24 03:00:09.945987+00
16,UFA Round 1,1,4,Jeff's Jackass's,Nico Hischier,C,UFA,HawtSawwce,6,3,Sold,Yes,2026-09-24 03:01:52.564849+00
17,UFA Round 1,1,5,New Oilers Nation,Alex Tuch,W,UFA,South Calgary Oilers,5,3,Sold,No,2026-09-24 03:05:16.895068+00
18,UFA Round 1,1,6,New Oilers Nation,Jakob Chychrun,D,UFA,South Calgary Oilers,11,3,Sold,No,2026-09-24 03:06:11.253893+00
19,UFA Round 1,1,7,3sheets Sports Entertainment,Connor Hellebuyck,G,UFA,re-degeneration X 2.0,5,3,Sold,Yes,2026-09-24 03:09:32.692007+00
20,UFA Round 1,1,8,Shazam!!!,Brayden Point,C,UFA,New Oilers Nation,5,3,Sold,Yes,2026-09-24 03:11:28.515539+00
21,UFA Round 1,1,9,G' Stars,Josh Morrissey,D,UFA,The Inglorious Basteeerds,10,3,Sold,No,2026-09-24 03:14:19.567804+00
22,UFA Round 1,1,10,LIP's Lasers,Juuse Saros,G,UFA,re-degeneration X 2.0,4,3,Sold,No,2026-09-24 03:16:23.702661+00
23,UFA Round 1,1,11,New Oilers Nation,Darren Raddysh,D,UFA,G' Stars,9,3,Sold,No,2026-09-24 03:18:09.114732+00
24,UFA Round 1,1,12,The Dook of Sook,Mika Zibanejad,C,UFA,New Oilers Nation,6,3,Sold,No,2026-09-24 03:19:49.73901+00
25,UFA Round 2,2,1,The Pylons,John Gibson,G,UFA,The Dook of Sook,2,3,Sold,Yes,2026-09-24 03:20:47.306894+00
26,UFA Round 2,2,2,The Inglorious Basteeerds,Bo Horvat,C,UFA,New Oilers Nation,6,3,Sold,No,2026-09-24 03:24:14.858557+00
27,UFA Round 2,2,3,HawtSawwce,Karel Vejmelka,G,UFA,HawtSawwce,4,3,Sold,No,2026-09-24 03:25:37.280478+00
28,UFA Round 2,2,4,Jeff's Jackass's,Dylan Strome,C,UFA,Jeff's Jackass's,4,3,Sold,Yes,2026-09-24 03:26:53.685215+00
29,UFA Round 2,2,5,New Oilers Nation,Roope Hintz,C,UFA,South Calgary Oilers,6,3,Sold,No,2026-09-24 03:28:44.536072+00
30,UFA Round 2,2,6,New Oilers Nation,Nick Schmaltz,C,UFA,The Dook of Sook,6,3,Sold,No,2026-09-24 03:29:59.229654+00
31,UFA Round 2,2,7,3sheets Sports Entertainment,Jared McCann,W,UFA,HawtSawwce,3,3,Sold,No,2026-09-24 03:31:01.398728+00
32,UFA Round 2,2,8,3sheets Sports Entertainment,Mark Stone,W,UFA,The Pylons,6,3,Sold,Yes,2026-09-24 03:32:30.791034+00
33,UFA Round 2,2,9,G' Stars,Scott Wedgewood,G,UFA,G' Stars,3,3,Sold,Yes,2026-09-24 03:33:50.953837+00
34,UFA Round 2,2,10,LIP's Lasers,Brandon Bussi,G,UFA,Jeff's Jackass's,6,3,Sold,No,2026-09-24 03:36:05.807679+00
35,UFA Round 2,2,11,New Oilers Nation,Victor Hedman,D,UFA,re-degeneration X 2.0,6,3,Sold,No,2026-09-24 03:38:15.652671+00
36,UFA Round 2,2,12,The Dook of Sook,Shayne Gostisbehere,D,UFA,South Calgary Oilers,5,3,Sold,No,2026-09-24 03:39:38.659122+00
37,RFA Poaching,1,1,The Pylons,Jet Greaves,G,RFA,Shazam!!!,3,3,RFA Match,Yes,2026-09-24 03:47:44.44958+00
38,RFA Poaching,1,2,The Inglorious Basteeerds,Jesper Wallstedt,G,RFA,The Inglorious Basteeerds,5,3,RFA Pass,No,2026-09-24 03:51:55.549176+00
39,RFA Poaching,1,3,HawtSawwce,Matt Boldy,W,RFA,G' Stars,10,3,RFA Match,No,2026-09-24 03:53:54.808106+00
40,RFA Poaching,1,4,Jeff's Jackass's,Dylan Holloway,W,RFA,South Calgary Oilers,4,3,RFA Match,No,2026-09-24 03:57:10.773527+00
41,RFA Poaching,1,5,New Oilers Nation,Cole Hutson,D,RFA,South Calgary Oilers,5,3,RFA Pass,No,2026-09-24 03:59:21.868571+00
42,RFA Poaching,1,6,3sheets Sports Entertainment,Connor Bedard,C,RFA,South Calgary Oilers,8,3,RFA Match,Yes,2026-09-24 04:01:34.749599+00
43,RFA Poaching,1,7,New Oilers Nation,Will Smith,C,RFA,No Sale,,,No Sale,No,2026-09-24 04:06:16.168769+00
44,RFA Poaching,1,8,Shazam!!!,Jimmy Snuggerud,W,RFA,The Pylons,3,3,RFA Match,No,2026-09-24 04:07:07.116233+00
45,RFA Poaching,1,9,G' Stars,Bowen Byram,D,RFA,The Dook of Sook,5,3,RFA Match,Yes,2026-09-24 04:10:28.067004+00
46,RFA Poaching,1,10,LIP's Lasers,Quinton Byfield,W,RFA,The Dook of Sook,5,3,RFA Match,Yes,2026-09-24 04:13:21.066989+00
47,RFA Poaching,1,11,3sheets Sports Entertainment,Marco Rossi,C,RFA,HawtSawwce,3,3,RFA Match,No,2026-09-24 04:16:08.679295+00
48,RFA Poaching,1,12,New Oilers Nation,Jakub Dobes,G,RFA,The Pylons,3,3,RFA Match,Yes,2026-09-24 04:18:06.062459+00
49,RFA Poaching,1,13,The Pylons,Matty Beniers,C,RFA,LIP's Lasers,3,3,RFA Pass,Yes,2026-09-24 04:22:13.067819+00
50,RFA Poaching,1,14,The Inglorious Basteeerds,Luke Hughes,D,RFA,Jeff's Jackass's,4,3,RFA Match,No,2026-09-24 04:25:09.980442+00
51,RFA Poaching,1,15,HawtSawwce,Brock Faber,D,RFA,Shazam!!!,5,3,RFA Match,Yes,2026-09-24 04:26:42.641264+00
52,RFA Poaching,1,16,Jeff's Jackass's,Mattias Samuelsson,D,RFA,South Calgary Oilers,3,3,RFA Match,No,2026-09-24 04:28:49.114374+00
53,RFA Poaching,1,17,New Oilers Nation,Alexis Lafreniere,W,RFA,The Inglorious Basteeerds,3,3,RFA Pass,Yes,2026-09-24 04:34:13.933387+00
54,RFA Poaching,1,18,New Oilers Nation,Jackson Blake,W,RFA,The Pylons,3,3,RFA Match,No,2026-09-24 04:37:11.031478+00
55,RFA Poaching,1,19,New Oilers Nation,Dylan Cozens,C,RFA,Shazam!!!,3,3,RFA Match,Yes,2026-09-24 04:38:29.006483+00
56,RFA Poaching,1,20,3sheets Sports Entertainment,Mason McTavish,C,RFA,HawtSawwce,3,3,RFA Match,No,2026-09-24 04:40:44.969994+00
