team_id,full_name,tri_code,deployment_cluster,ev_line1_share,ev_line2_share,ev_line3_share,ev_line4_share,pp1_share,pp2_share,pk_pair1_share,pk_pair2_share,pk_pair3_share,pk_rest_share,ev_pair_ff_share,ev_pair_dd_share,trios_ev_fwd_line_share
1,New Jersey Devils,NJD,1,0.34,0.3,0.23,0.13,0.6,0.4,0.4,0.32,0.18,0.1,0.2162631612207426,0.0702222721878533,0.0596039599983589
2,New York Islanders,NYI,1,0.36,0.3,0.22,0.12,0.6,0.4,0.35,0.27,0.22,0.16,0.2150536052300889,0.0687308126680134,0.0587716486522538
3,New York Rangers,NYR,1,0.36,0.3,0.22,0.12,0.6,0.4,0.35,0.27,0.22,0.16,0.2189057427828379,0.0690072597851796,0.0620443373355136
4,Philadelphia Flyers,PHI,3,0.34,0.3,0.23,0.13,0.6,0.4,0.35,0.27,0.22,0.16,0.2238101780036928,0.067297017681217,0.065192054640015
5,Pittsburgh Penguins,PIT,2,0.36,0.3,0.22,0.12,0.65,0.35,0.35,0.27,0.22,0.16,0.2190118410028397,0.067639288106354,0.0608701404420055
6,Boston Bruins,BOS,1,0.36,0.3,0.22,0.12,0.6,0.4,0.35,0.27,0.22,0.16,0.2158026419618899,0.0719349538875654,0.0581143883848085
7,Buffalo Sabres,BUF,3,0.34,0.3,0.23,0.13,0.6,0.4,0.35,0.27,0.22,0.16,0.2267011697748427,0.0755998218727258,0.0650732689622077
8,Montréal Canadiens,MTL,0,0.36,0.3,0.22,0.12,0.65,0.35,0.4,0.32,0.18,0.1,0.2140906671742252,0.0705481032332464,0.0576036287690989
9,Ottawa Senators,OTT,1,0.34,0.3,0.23,0.13,0.6,0.4,0.38,0.3,0.2,0.12,0.2142396484433787,0.0706428148608923,0.0592250984229685
10,Toronto Maple Leafs,TOR,1,0.34,0.3,0.23,0.13,0.6,0.4,0.35,0.27,0.22,0.16,0.2105458308058014,0.069249780141,0.0577319001358617
12,Carolina Hurricanes,CAR,1,0.36,0.3,0.22,0.12,0.6,0.4,0.4,0.32,0.18,0.1,0.2180247387187261,0.071848362081812,0.0586179632114352
13,Florida Panthers,FLA,1,0.36,0.3,0.22,0.12,0.6,0.4,0.4,0.32,0.18,0.1,0.2121872766749973,0.0719060391863215,0.0581604077612975
