team_id,strength,player_a,player_b,player_c,seconds,pos_a,pos_b,pos_c,unit_type
1,EV,8474090,8475193,8475287,3060,D,L,L,1D+2F
1,EV,8474090,8475193,8476292,151,D,L,L,1D+2F
1,EV,8474090,8475193,8476462,1348,D,L,D,2D+1F
1,EV,8474090,8475193,8476923,5747,D,L,D,2D+1F
1,EV,8474090,8475193,8477425,931,D,L,L,1D+2F
1,EV,8474090,8475193,8477435,528,D,L,D,2D+1F
1,EV,8474090,8475193,8477970,5366,D,L,G,mixed
1,EV,8474090,8475193,8478399,682,D,L,D,2D+1F
1,EV,8474090,8475193,8478406,2751,D,L,G,mixed
1,EV,8474090,8475193,8478414,27,D,L,R,1D+2F
1,EV,8474090,8475193,8478507,921,D,L,D,2D+1F
1,EV,8474090,8475193,8479407,1765,D,L,L,1D+2F
1,EV,8474090,8475193,8479414,188,D,L,R,1D+2F
1,EV,8474090,8475193,8479415,353,D,L,C,1D+2F
1,EV,8474090,8475193,8480002,5994,D,L,C,1D+2F
1,EV,8474090,8475193,8480003,500,D,L,C,1D+2F
1,EV,8474090,8475193,8480188,2529,D,L,L,1D+2F
1,EV,8474090,8475193,8480860,924,D,L,D,2D+1F
1,EV,8474090,8475193,8481033,1590,D,L,G,mixed
1,EV,8474090,8475193,8481068,968,D,L,C,1D+2F
1,EV,8474090,8475193,8481537,936,D,L,D,2D+1F
1,EV,8474090,8475193,8481559,2565,D,L,C,1D+2F
1,EV,8474090,8475193,8481740,11,D,L,R,1D+2F
1,EV,8474090,8475193,8482110,3034,D,L,C,1D+2F
1,EV,8474090,8475193,8482125,148,D,L,R,1D+2F
1,EV,8474090,8475193,8482684,110,D,L,D,2D+1F
1,EV,8474090,8475287,8476292,1542,D,L,L,1D+2F
1,EV,8474090,8475287,8476462,1502,D,L,D,2D+1F
1,EV,8474090,8475287,8476923,8297,D,L,D,2D+1F
1,EV,8474090,8475287,8477425,2403,D,L,L,1D+2F
1,EV,8474090,8475287,8477435,763,D,L,D,2D+1F
1,EV,8474090,8475287,8477508,30,D,L,C,1D+2F
1,EV,8474090,8475287,8477970,6702,D,L,G,mixed
1,EV,8474090,8475287,8478399,766,D,L,D,2D+1F
1,EV,8474090,8475287,8478406,3297,D,L,G,mixed
1,EV,8474090,8475287,8478414,514,D,L,R,1D+2F
1,EV,8474090,8475287,8478507,852,D,L,D,2D+1F
1,EV,8474090,8475287,8479407,4630,D,L,L,1D+2F
1,EV,8474090,8475287,8479414,274,D,L,R,1D+2F
1,EV,8474090,8475287,8479415,433,D,L,C,1D+2F
1,EV,8474090,8475287,8480002,227,D,L,C,1D+2F
1,EV,8474090,8475287,8480003,1265,D,L,C,1D+2F
