team_id,full_name,tri_code,deployment_cluster,ev_line1_share,ev_line2_share,ev_line3_share,ev_line4_share,pp1_share,pp2_share,pk_pair1_share,pk_pair2_share,pk_pair3_share,pk_rest_share,ev_pair_ff_share,ev_pair_dd_share,trios_ev_fwd_line_share
1,New Jersey Devils,NJD,1,0.34,0.3,0.23,0.13,0.6,0.4,0.35,0.27,0.22,0.16,0.2155961118393797,0.0716584546541124,0.0597051167408529
2,New York Islanders,NYI,1,0.36,0.3,0.22,0.12,0.65,0.35,0.38,0.3,0.2,0.12,0.2094453821848105,0.0688382039710804,0.0558917118731923
3,New York Rangers,NYR,0,0.36,0.3,0.22,0.12,0.7,0.3,0.38,0.3,0.2,0.12,0.2161188184490956,0.068952515597665,0.0590031460195986
4,Philadelphia Flyers,PHI,1,0.34,0.3,0.23,0.13,0.6,0.4,0.38,0.3,0.2,0.12,0.2129672988042766,0.0704399221276665,0.057515000731743
5,Pittsburgh Penguins,PIT,1,0.36,0.3,0.22,0.12,0.6,0.4,0.35,0.27,0.22,0.16,0.2120206272691343,0.0696502529053842,0.0572738654447763
6,Boston Bruins,BOS,1,0.34,0.3,0.23,0.13,0.6,0.4,0.35,0.27,0.22,0.16,0.2084503939607228,0.0699621148766811,0.0545171759168663
7,Buffalo Sabres,BUF,1,0.34,0.3,0.23,0.13,0.65,0.35,0.35,0.27,0.22,0.16,0.2134394964352355,0.0685792792374323,0.0580019149930379
8,Montréal Canadiens,MTL,0,0.36,0.3,0.22,0.12,0.7,0.3,0.35,0.27,0.22,0.16,0.2112700424913409,0.0689224077672171,0.0580617534151656
9,Ottawa Senators,OTT,1,0.34,0.3,0.23,0.13,0.6,0.4,0.38,0.3,0.2,0.12,0.2113016235874044,0.072468983683199,0.0571210268131533
10,Toronto Maple Leafs,TOR,1,0.34,0.3,0.23,0.13,0.6,0.4,0.35,0.27,0.22,0.16,0.2134412208619822,0.0697947493250987,0.0582756782801999
12,Carolina Hurricanes,CAR,1,0.36,0.3,0.22,0.12,0.6,0.4,0.4,0.32,0.18,0.1,0.2138326301640314,0.0710958117575591,0.0571369574360152
13,Florida Panthers,FLA,0,0.36,0.3,0.22,0.12,0.7,0.3,0.4,0.32,0.18,0.1,0.2161907294713952,0.0698083631869593,0.0630973611114546
14,Tampa Bay Lightning,TBL,0,0.36,0.3,0.22,0.12,0.7,0.3,0.35,0.27,0.22,0.16,0.2171903799216259,0.0689758577001217,0.0615685309955287
15,Washington Capitals,WSH,1,0.34,0.3,0.23,0.13,0.65,0.35,0.35,0.27,0.22,0.16,0.2161998041705285,0.0703537507071735,0.0606498367541057
16,Chicago Blackhawks,CHI,1,0.34,0.3,0.23,0.13,0.6,0.4,0.35,0.27,0.22,0.16,0.2133838020928911,0.0693722242629698,0.0584850504711682
17,Detroit Red Wings,DET,1,0.34,0.3,0.23,0.13,0.6,0.4,0.4,0.32,0.18,0.1,0.2113700330294173,0.0690906786563812,0.0576929039504131
18,Nashville Predators,NSH,0,0.36,0.3,0.22,0.12,0.65,0.35,0.35,0.27,0.22,0.16,0.2131305422598495,0.0693669234545461,0.0570351126992236
19,St. Louis Blues,STL,0,0.36,0.3,0.22,0.12,0.65,0.35,0.4,0.32,0.18,0.1,0.2143552441272914,0.070847885530485,0.0621503552620158
20,Calgary Flames,CGY,1,0.34,0.3,0.23,0.13,0.6,0.4,0.4,0.32,0.18,0.1,0.2055135816261181,0.0704712057554589,0.0534760584713081
21,Colorado Avalanche,COL,0,0.38,0.3,0.2,0.12,0.7,0.3,0.38,0.3,0.2,0.12,0.2104359715636587,0.0685172788293158,0.0560664411907249
22,Edmonton Oilers,EDM,0,0.36,0.3,0.22,0.12,0.65,0.35,0.38,0.3,0.2,0.12,0.2119448684020144,0.0688239494798157,0.0565757101012879
23,Vancouver Canucks,VAN,0,0.36,0.3,0.22,0.12,0.7,0.3,0.35,0.27,0.22,0.16,0.2120257009535048,0.0705153088532083,0.0557455423211261
24,Anaheim Ducks,ANA,1,0.34,0.3,0.23,0.13,0.65,0.35,0.35,0.27,0.22,0.16,0.2137238929499669,0.0698527369271475,0.0587542869798491
25,Dallas Stars,DAL,0,0.34,0.3,0.23,0.13,0.7,0.3,0.4,0.32,0.18,0.1,0.212453111850832,0.0693505726630504,0.0575659539584691
26,Los Angeles Kings,LAK,0,0.36,0.3,0.22,0.12,0.7,0.3,0.4,0.32,0.18,0.1,0.2143612621301795,0.0692720099373765,0.0589999631164168
28,San Jose Sharks,SJS,1,0.34,0.3,0.23,0.13,0.6,0.4,0.35,0.27,0.22,0.16,0.2079890394920361,0.0775780380761275,0.059597475303674
29,Columbus Blue Jackets,CBJ,1,0.34,0.3,0.23,0.13,0.6,0.4,0.35,0.27,0.22,0.16,0.2095534467156418,0.0679684611794937,0.0569842819945226
30,Minnesota Wild,MIN,1,0.34,0.3,0.23,0.13,0.65,0.35,0.35,0.27,0.22,0.16,0.2157480954205662,0.0689256418416455,0.0590223968164621
52,Winnipeg Jets,WPG,0,0.36,0.3,0.22,0.12,0.65,0.35,0.38,0.3,0.2,0.12,0.2109854044548829,0.0694411092359921,0.0555149460514205
53,Arizona Coyotes,ARI,1,0.34,0.3,0.23,0.13,0.65,0.35,0.35,0.27,0.22,0.16,0.2152267725619524,0.0710649953300384,0.0601146395005475
54,Vegas Golden Knights,VGK,1,0.34,0.3,0.23,0.13,0.6,0.4,0.38,0.3,0.2,0.12,0.2121379526141878,0.0696491150407596,0.0564270504870921
55,Seattle Kraken,SEA,1,0.36,0.3,0.22,0.12,0.6,0.4,0.4,0.32,0.18,0.1,0.209624645390455,0.0677724718084057,0.0563429309393563
