3sheets Sports Entertainment Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
C,Nathan MacKinnon C | COL ,"@LA 10/07 10:30pm ET","Home: 2 (UTA,DAL)
Away: 1 (@LA)",2,100%,100%,23,2,,271.2,296.5,292.1
C,Alexei Protas C | WAS ,"BOS 10/08  7:30pm ET","Home: 1 (BOS)
Away: 2 (@NYI,@NYR)",150,100%,0%,2,0,,178.0,89.5,134.9
W,Mikko Rantanen W | DAL ,"@WPG 10/09  8:00pm ET","Home: 0 
Away: 2 (@WPG,@COL)",10,100%,100%,19,1,,211.2,246.0,236.0
W,Andrei Svechnikov W | CAR ,"NJ 10/09  7:00pm ET","Home: 2 (NJ,PHI)
Away: 0 ",84,100%,0%,7,2,,115.0,128.0,162.9
F,Morgan Geekie C | BOS ,"@WAS 10/08  7:30pm ET","Home: 2 (CHI,BUF)
Away: 1 (@WAS)",182,0%,0%,2,0,,147.8,106.0,124.2
F,Seth Jarvis W | CAR ,"NJ 10/09  7:00pm ET","Home: 2 (NJ,PHI)
Away: 0 ",33,100%,100%,6,2,,179.0,149.8,195.8
F,Kirill Marchenko W | CLB ,"@NSH 10/09  8:00pm ET","Home: 0 
Away: 2 (@NSH,@MIN)",79,100%,100%,2,0,,188.2,120.0,164.8
D,Evan Bouchard D | EDM ,"CGY 10/08 10:00pm ET","Home: 2 (CGY,VAN)
Away: 0 ",73,100%,100%,4,0,,232.5,219.5,169.1
D,John Carlson D | WAS ,"BOS 10/08  7:30pm ET","Home: 1 (BOS)
Away: 2 (@NYI,@NYR)",191,100%,100%,6,2,,167.2,148.2,122.2
Reserves
Injured
F,2027 Draft Pick 3sSE F |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
3sheets Sports Entertainment Goalies
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
G,Filip Gustavsson G | MIN ,"@STL 10/09  8:00pm ET","Home: 1 (CLB)
Away: 1 (@STL)",118,0%,0%,4,1,,204.9,164.1,148.1
G,Logan Thompson G | WAS ,"BOS 10/08  7:30pm ET","Home: 1 (BOS)
Away: 2 (@NYI,@NYR)",111,0%,0%,2,1,,154.2,145.1,151.8
Reserves
Injured
Active: 11 Injured: 1 Active salary: 77.00 Total salary: 77.00
CinStars Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
C,Shane Pinto C | OTT ,"@TB 10/09  7:00pm ET","Home: 0 
Away: 2 (@TB,@FLA)",174,0%,0%,3,2,,103.5,85.0,126.3
C,Robert Thomas C | STL ,"MIN 10/09  8:00pm ET","Home: 1 (MIN)
Away: 1 (@CGY)",20,100%,100%,5,0,,192.0,182.8,216.8
W,Sam Reinhart W | FLA ,"CHI 10/07  5:00pm ET","Home: 3 (CHI,PHI,OTT)
Away: 0 ",11,100%,100%,10,2,,214.5,212.0,234.2
W,Brady Tkachuk W | OTT ,"@TB 10/09  7:00pm ET","Home: 0 
Away: 2 (@TB,@FLA)",51,100%,0%,10,2,,139.0,175.5,180.5
F,Filip Forsberg W | NSH ,"CLB 10/09  8:00pm ET","Home: 2 (CLB,UTA)
Away: 0 ",34,100%,100%,9,2,,177.2,175.0,195.6
F,Carter Verhaeghe W | FLA ,"CHI 10/07  5:00pm ET","Home: 3 (CHI,PHI,OTT)
Away: 0 ",57,100%,100%,6,2,,122.5,165.0,175.7
D,Shayne Gostisbehere D | CAR ,"NJ 10/09  7:00pm ET","Home: 2 (NJ,PHI)
Away: 0 ",173,100%,100%,3,1,,149.2,161.5,126.5
D,Luke Hughes D | NJ ,"@CAR 10/09  7:00pm ET","Home: 0 
Away: 2 (@CAR,@TB)",259,100%,100%,2,1,,143.8,102.5,103.3
Reserves
C,Josh Norris C | BUF ,"NYR 10/09  7:00pm ET","Home: 1 (NYR)
Away: 1 (@BOS)",142,0%,0%,3,2,,93.5,60.2,138.7
C,Elias Pettersson C | VAN ,"CGY 10/09 10:00pm ET","Home: 1 (CGY)
Away: 1 (@EDM)",98,100%,0%,16,2,,103.5,192.2,157.2
F,Joel Farabee W | CGY ,"@EDM 10/08 10:00pm ET","Home: 1 (STL)
Away: 2 (@EDM,@VAN)",294,0%,0%,2,2,,56.8,89.8,95.4
F,Matias Maccelli W | TOR ,"MON 10/08  7:00pm ET","Home: 1 (MON)
Away: 1 (@DET)",206,0%,0%,3,2,,40.8,92.8,119.2
D,Quinn Hughes D | VAN ,"CGY 10/09 10:00pm ET","Home: 1 (CGY)
Away: 1 (@EDM)",58,100%,100%,14,0,,260.5,273.5,175.2
Injured
C,2026 Draft Pick Cinstars C |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
F,2027 Draft Pick CinStars F |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
F,Ryan Leonard W | WAS ,"BOS 10/08  7:30pm ET","Home: 1 (BOS)
Away: 2 (@NYI,@NYR)",613,0%,0%,0,1,1,2.0,2.2,46.7
D,"2025 Draft Pick Cinstars D,C |  ",,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
D,Sam Dickinson D | SJ ,"LV 10/09 10:00pm ET","Home: 2 (LV,ANA)
Away: 0 ",,0%,0%,0,2,1,0.0,0.0,0.0
CinStars Goalies
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
G,Linus Ullmark G | OTT ,"@TB 10/09  7:00pm ET","Home: 0 
Away: 2 (@TB,@FLA)",137,0%,0%,6,1,,144.6,178.7,140.8
Reserves
Injured
Active: 9 Reserve: 5 Injured: 5 Active salary: 54.00 Total salary: 92.00 Total Rookie: 2.00
G' Stars Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
