All Goalies   Projections Standard Categories
Avail,Player,GGP,W,L,SO,GAA,GA,S,SPct,FPTS,
W ,Scott Wedgewood G | COL ,66.9,38.67,24.13,2.92,2.90,194.25,1538.04,.888,156.94
LIP's Lasers,Jacob Markstrom G | FLA ,66.9,35.95,26.85,3.23,2.81,188.02,1540.01,.891,155.11
W ,Logan Thompson G | WAS ,66.9,35.75,27.05,3.05,2.87,192.21,1564.47,.891,153.94
W ,Brandon Bussi G | CAR ,66.9,37.4,25.4,2.71,2.97,198.51,1535.16,.885,146.15
W ,Carter Hart G | LV ,66.9,35.34,27.46,2.92,2.94,196.59,1556.42,.888,145.16
South Calgary Oilers,Jake Oettinger G | DAL,66.9,34.14,28.66,2.77,2.98,199.35,1583.72,.888,142.82
3sheets Sports Entertainment,Jesper Wallstedt G | MIN ,66.9,34.12,28.68,2.69,2.99,200.15,1583.4,.888,141.47
The Pylons,Jakub Dobes G | MON ,66.9,33.6,29.2,2.62,3.02,201.74,1593.85,.888,139.91
New Oilers Nation,Andrei Vasilevskiy G | TB ,66.9,34.83,27.97,2.62,3.00,201.02,1565.13,.886,139.32
W ,Karel Vejmelka G | UTA ,66.9,34.23,28.57,2.71,2.99,200.06,1565.37,.887,138.45
LIP's Lasers,Lukas Dostal G | ANA,66.9,34,28.8,2.71,3.00,200.77,1566.99,.886,137.26
HawtSawwce,Jeremy Swayman G | BOS ,66.9,32.48,30.32,2.72,2.99,200.32,1588.77,.888,136.68
South Calgary Oilers,Ukko-Pekka Luukkonen G | BUF ,66.9,34.1,28.7,2.5,3.06,204.46,1577.73,.885,134.74
W ,Linus Ullmark G | OTT,66.9,33.17,29.63,2.56,3.04,203.17,1550.57,.884,127.77
W ,Arturs Silovs G | PIT ,66.9,32.87,29.93,2.34,3.11,207.97,1586.66,.884,127.52
South Calgary Oilers,Frederik Andersen G | EDM ,60.1,31.92,24.48,2.32,3.02,181.39,1409.28,.886,127.12
The Dook of Sook,Yaroslav Askarov G | SJ ,66.9,30.63,32.17,2.59,3.04,203.13,1591.93,.887,127.02
New Oilers Nation,Igor Shesterkin G | NYR ,66.9,29.33,33.47,2.62,3.02,201.71,1604.68,.888,126.90
W ,Sergei Bobrovsky G | TOR ,66.9,30.41,32.39,2.43,3.10,207.61,1605.08,.885,123.02
W ,Jake Allen G | NJ ,66.9,29.25,33.55,2.68,2.99,200.15,1573.78,.887,122.24
W ,Juuse Saros G | NSH ,66.9,29.74,33.06,2.61,3.06,204.44,1586.22,.886,121.13
Shazam!!!,Jet Greaves G | CLB ,66.9,29.49,33.31,2.53,3.04,203.09,1581.07,.886,120.89
W ,Dan Vladar G | PHI ,66.9,28.41,34.39,2.62,3.02,201.75,1589.24,.887,120.51
Shazam!!!,Joel Hofer G | STL ,66.9,28.53,34.27,2.55,3.03,202.85,1594.04,.887,120.34
Shazam!!!,Ilya Sorokin G | NYI ,66.9,28.73,34.07,2.57,3.03,202.98,1578.9,.886,117.81
W ,Connor Hellebuyck G | WPG ,66.9,27.87,34.93,2.63,3.03,202.8,1588.03,.887,117.02
W ,John Gibson G | DET ,66.9,29.24,33.56,2.41,3.08,205.75,1580.15,.885,116.17
W ,Joey Daccord G | SEA ,66.9,26.67,36.13,2.49,3.06,204.73,1600.96,.887,112.89
W ,Darcy Kuemper G | LA ,66.9,26.55,36.25,2.65,3.02,202.25,1582.7,.887,111.88
W ,Thatcher Demko G | VAN ,66.9,25.01,37.79,2.5,3.06,204.8,1591.98,.886,105.12
New Oilers Nation,Spencer Knight G | CHI ,66.9,24.42,38.38,2.49,3.07,205.13,1603.79,.887,105.09
The Dook of Sook,Dustin Wolf G | CGY ,66.9,24.65,38.15,2.45,3.07,205.37,1595.82,.886,103.94
W ,Tristan Jarry G | EDM ,28.2,15.81,10.99,1.23,2.95,83.19,662.76,.888,65.12
W ,Akira Schmid G | FLA ,22.2,12.33,8.87,1.15,2.83,62.77,529.79,.894,55.92
W ,MacKenzie Blackwood G | COL ,22.2,12.87,8.33,1.01,2.96,65.64,527.93,.889,53.85
W ,Charlie Lindgren G | WAS ,22.2,12.25,8.95,1,2.93,65.06,530.35,.891,52.78
W ,Pyotr Kochetkov G | CAR ,22.2,12.52,8.68,0.95,3.00,66.51,532.53,.889,52.39
W ,Dennis Hildeby G | TB ,22.2,12.13,9.07,0.93,2.97,65.9,531.66,.890,51.44
The Inglorious Basteeerds,Filip Gustavsson G | MIN ,22.2,11.76,9.44,0.96,3.02,67.07,531.59,.888,48.79
W ,Casey DeSmith G | DAL ,22.2,11.69,9.51,0.99,2.96,65.78,520.4,.888,47.94
W ,Samuel Ersson G | OTT ,22.2,11.43,9.77,0.96,3.01,66.88,529.75,.888,47.49
W ,Sebastian Cossa G | UTA ,22.2,11.38,9.82,0.9,3.04,67.47,531.76,.887,46.75
W ,Ville Husso G | ANA,22.2,11.37,9.83,0.91,3.06,68.04,530.63,.886,45.85
The Dook of Sook,Jacob Fowler G | MON,22.2,11.26,9.94,0.9,3.05,67.72,528,.886,45.29
G' Stars,Adin Hill G | LV ,22.2,11.59,9.61,0.86,3.10,68.86,529.13,.885,45.28
W ,Michael DiPietro G | BOS ,22.2,10.86,10.34,0.88,3.11,69.1,537.72,.886,44.07
W ,Alex Lyon G | BUF ,22.2,11.06,10.14,0.77,3.19,70.84,540.17,.884,42.97
W ,Anthony Stolarz G | TOR,22.2,10.31,10.89,0.85,3.10,68.82,538.68,.887,42.67
W ,Justus Annunen G | NSH ,22.2,10.06,11.14,0.9,3.07,68.17,535.8,.887,42.17
W ,Jordan Binnington G | STL ,22.2,9.65,11.55,0.92,3.01,66.84,533.16,.889,41.81
W ,Philipp Grubauer G | SEA ,22.2,9.54,11.66,0.94,3.04,67.46,537.58,.889,41.70
W ,Alex Nedeljkovic G | SJ,22.2,10.12,11.08,0.84,3.11,69.15,537.72,.886,41.44
HawtSawwce,Joseph Woll G | PHI ,22.2,9.74,11.46,0.89,3.06,67.97,535.83,.887,41.30
W ,Joonas Korpisalo G | NYR ,22.2,9.74,11.46,0.9,3.06,67.98,533.32,.887,40.81
W ,Elvis Merzlikins G | CLB ,20.5,9.62,9.98,0.84,3.05,62.62,495.85,.888,40.69
W ,Sergei Murashov G | PIT ,22.2,10.79,10.41,0.71,3.23,71.63,537.45,.882,40.42
W ,Devin Cooley G | CGY ,22.2,8.73,12.47,0.94,3.02,66.98,540.81,.890,40.03
W ,David Rittich G | NJ ,22.2,9.52,11.68,0.82,3.13,69.42,540.22,.886,39.46
W ,Stuart Skinner G | WPG ,22.2,9.26,11.94,0.86,3.10,68.73,539.95,.887,39.39
W ,Anton Forsberg G | LA ,22.2,8.83,12.37,0.91,3.07,68.06,536.76,.887,38.21
W ,Daniil Tarasov G | DET ,22.2,9.35,11.85,0.81,3.15,70.01,539.29,.885,37.90
W ,Arvid Soderblom G | CHI ,22.2,8.58,12.62,0.9,3.09,68.56,541.35,.888,37.64
W ,Semyon Varlamov G | NYI ,22.2,9.12,12.08,0.76,3.19,70.79,544.35,.885,37.07
W ,Kevin Lankinen G | VAN ,22.2,7.94,13.26,0.77,3.23,71.79,544.73,.884,31.81
W ,Dylan Garand G | NYR ,8.4,3.91,4.49,0.35,3.21,26.97,213.8,.888,16.82
W ,Cam Talbot G | CLB ,8.4,3.86,4.54,0.32,3.28,27.58,211.94,.885,15.45
W ,Pheonix Copley G | CLB ,1.7,0.78,0.82,0.07,3.06,5.2,38.6,.881,2.83
W ,Devon Levi G | EDM ,0.8,0.48,0.32,0.04,3.05,2.44,19.71,.890,2.01
W ,Isaac Poulter G | WPG,0,0,0,0,0.00,0,0,.000,0.00
W ,Owen Say G | CGY,0,0,0,0,0.00,0,0,.000,0.00
W ,Anson Thornton G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ,Isaiah Saville G | LV,0,0,0,0,0.00,0,0,.000,0.00
W ,Calle Clang G | ANA,0,0,0,0,0.00,0,0,.000,0.00
W ,Ken Appleby G | NYI,0,0,0,0,0.00,0,0,.000,0.00
W ,Jakub Milota G | NSH,0,0,0,0,0.00,0,0,.000,0.00
W ,Love Harenstam G | STL,0,0,0,0,0.00,0,0,.000,0.00
W ,Benjamin Gaudreau G | MON,0,0,0,0,0.00,0,0,.000,0.00
W ,Dereck Baribeau G | MIN,0,0,0,0,0.00,0,0,.000,0.00
W ,Andrei Trofimov G | OTT,0,0,0,0,0.00,0,0,.000,0.00
W ,Niklas Kokko G | SEA,0,0,0,0,0.00,0,0,.000,0.00
W ,Colten McIntyre G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ,Evan Gardner G | CLB,0,0,0,0,0.00,0,0,.000,0.00
W ,Gabriel Carriere G | SJ,0,0,0,0,0.00,0,0,.000,0.00
W ,Emil Larmi G | PIT,0,0,0,0,0.00,0,0,.000,0.00
W ,Scott Ratzlaff G | BUF,0,0,0,0,0.00,0,0,.000,0.00
W ,Aku Koskenvuo G | VAN,0,0,0,0,0.00,0,0,.000,0.00
W ,Elijah Neuenschwander G | ANA,0,0,0,0,0.00,0,0,.000,0.00
W ,Dylan Wells G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ,Matt Villalta G | BUF ,0,0,0,0,0.00,0,0,.000,0.00
W ,Martin Jones G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ,Trey Augustine G | DET,0,0,0,0,0.00,0,0,.000,0.00
W ,Kevin Reidler G | OTT,0,0,0,0,0.00,0,0,.000,0.00
W ,Jonas Johansson G | TB ,0,0,0,0,0.00,0,0,.000,0.00
W ,Jaxson Stauber G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ,Colten Ellis G | BUF ,0,0,0,0,0.00,0,0,.000,0.00
W ,Arno Tiefensee G | DAL ,0,0,0,0,0.00,0,0,.000,0.00
W ,Ales Stezka G | SEA,0,0,0,0,0.00,0,0,.000,0.00
W ,Lucas Beckman G | OTT,0,0,0,0,0.00,0,0,.000,0.00
W ,Samuel Meloche G | BUF,0,0,0,0,0.00,0,0,.000,0.00
W ,Roddy Ross G | PHI,0,0,0,0,0.00,0,0,.000,0.00
W ,Louis Domingue G | NYR,0,0,0,0,0.00,0,0,.000,0.00
W ,Nikita Quapp G | CAR,0,0,0,0,0.00,0,0,.000,0.00
W ,Magnus Hellberg G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ,Samuel Hlavaj G | MIN ,0,0,0,0,0.00,0,0,.000,0.00
W ,Justin Kowalkoski G | SJ,0,0,0,0,0.00,0,0,.000,0.00
W ,Michael Hutchinson G | DET ,0,0,0,0,0.00,0,0,.000,0.00
W ,Joel Blomqvist G | PIT ,0,0,0,0,0.00,0,0,.000,0.00
W ,Eric Comrie G | SJ ,0,0,0,0,0.00,0,0,.000,0.00
W ,Hugo Ollas G | NYR ,0,0,0,0,0.00,0,0,.000,0.00
W ,Burke Hood G | NYI,0,0,0,0,0.00,0,0,.000,0.00
W ,Vyacheslav Buteyets G | ANA ,0,0,0,0,0.00,0,0,.000,0.00
W ,Chase Wutzke G | MIN,0,0,0,0,0.00,0,0,.000,0.00
W ,Thomas Milic G | WPG ,0,0,0,0,0.00,0,0,.000,0.00
W ,Remi Poirier G | DAL ,0,0,0,0,0.00,0,0,.000,0.00
W ,Mitchell Gibson G | WAS,0,0,0,0,0.00,0,0,.000,0.00
W ,Kirill Zarubin G | CGY,0,0,0,0,0.00,0,0,.000,0.00
W ,Landon Bow G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ,Arseni Radkov G | MON,0,0,0,0,0.00,0,0,.000,0.00
W ,Veini Vehvilainen G | TOR,0,0,0,0,0.00,0,0,.000,0.00
