All Players   Projections Standard Categories
Avail,Player,GP,G,A,PTS,+/-,PIM,PPG,SHG,SOG,FPTS,
re-degeneration X 2.0,Connor McDavid C | EDM ,80.6,44.57,100.08,144.65,-0.83,39.05,28.7,0.67,330.29,335.00
The Pylons,Nathan MacKinnon C | COL,80.6,55.73,83.38,139.11,1.15,42.52,27.8,0,467.79,334.24
W ,Nikita Kucherov W | TB ,80.6,46.1,93.79,139.89,-4.56,46,27.84,0.29,287.84,325.32
Shazam!!!,Leon Draisaitl C | EDM ,80.6,50.87,77.96,128.83,1.11,41.53,26.34,0.51,266.33,309.83
New Oilers Nation,Macklin Celebrini C | SJ ,80.6,48.27,71.06,119.33,8.59,43.65,20.77,0,254.13,289.08
The Inglorious Basteeerds,David Pastrnak W | BOS,80.6,42.51,75.93,118.44,3.84,69.83,21.36,0,290.88,280.35
Shazam!!!,Kirill Kaprizov W | MIN,80.6,53.17,57.04,110.21,4.87,30.55,20.17,0,284.54,274.81
G' Stars,Matt Boldy W | MIN,80.6,47.98,52.23,100.21,6.96,39.37,17.12,1.34,280.53,252.82
3sheets Sports Entertainment,Mikko Rantanen W | DAL,80.6,36.24,70.27,106.51,-3.41,96.38,21.04,0,202.58,248.41
W ,William Nylander W | TOR,80.6,43.29,59.44,102.73,-7.95,22.45,20.68,0.8,211.58,248.36
The Pylons,Jack Eichel C | LV,80.6,32.47,74.02,106.49,-2.52,27.56,21.06,1.54,313.72,247.90
Jeff's Jackass's,Sam Reinhart W | FLA,80.6,49.85,45.94,95.79,-3.09,19.17,17.88,2.83,251.18,246.32
HawtSawwce,Jack Hughes C | NJ ,80.6,38.15,65.92,104.07,-9.21,16.26,19.66,1.09,362.13,246.17
G' Stars,Nick Suzuki C | MON,80.6,33.27,68.76,102.03,13.29,25.59,24.1,0.46,166.62,241.57
G' Stars,Sidney Crosby C | PIT,80.6,40.24,59.92,100.16,2.89,52.95,18.48,0,227.19,241.28
The Pylons,Mitchell Marner W | LV,80.6,31.49,70.92,102.41,4.22,22.32,18.72,1.72,195.53,240.81
