,,OWNER,Winner,,Pylons,Basteerds,Dook,Socal,Shaz,NoN,Lips,G' Stars,Dooms,Cin,3sheets,Hawt,MAX,,UPDATE,STATUS,BY,
1.1,Miro Heiskanen D | DAL,3sheets,$14,,15,24,12,21,17,25,,20,20,0,cannot bid,6,$25,,RFA matched,DONE,MW,
1.2,Cale Makar D | COL,The Pylons,$23,,15,,0,NO,17,15,3,,18,0,8,6,$18,,RFA matched,DONE,MW,
1.3,Nathan MacKinnon C | COL,New Oilers Nation,$23,,14,14,14,7,10,,5,19,16,,10,8,$19,,Added,Done,MJH,
1.4,Leon Draisaitl C | EDM,Shazam!!!,$19,,10,11,0,0,0,6,9,10,8,0,cannot bid,4,$11,,RFA decline,DONE,MW,
1.5,Elias Pettersson C | VAN,CinStars,$16,,2,,14,0,12,0,10,,18,0,cannot bid,9,$18,,RFA decline,DONE,MW,MJH FUCKED AND FIXED
1.6,Juuse Saros G | NSH,Doomsday Machine,$9,,10,10,0,0,10,10,10,,,0,cannot bid,12,$12,,RFA matched,DONE,MW,
1.7,Kyle Connor W | WPG,The Pylons,$9,,11,13,0,9,12,0,9,,7,0,8,12,$13,,added,DONE,MJH,
1.8,Tim Stutzle C | OTT,HawtSawwce,$8,,0,9,0,7,8,8,8,,6,2,5,6,$9,,added,DONE,MJH,
1.9,Dougie Hamilton D | NJ,G' Stars,$12,,7,,4,6,5,6,8,,4,2,6,4,$6,,added,DONE,MJH,
1.10,Mitchell Marner W | TOR,The Pylons,$13,,10,5,14,5,12,12,9,,6,5,4,4,$14,,RFA matched,DONE,MW,
1.11,Jason Robertson W | DAL,The Dook of Sook,$13,,0,6,0,4,:(,8,6,,,2,,6,$8,,RFA matched,DONE,MW,
1.12,Brady Tkachuk W | OTT,CinStars,$10,,6,,10,,5,6,9,,4,2,3,6,$10,,RFA matched,DONE,MW,
2.1,Zach Hyman W | EDM,3sheets,$9,,10,5,0,8,8,11,5,,6,2,5,,$11,,added,Done,MJH,
2.2,Kirill Kaprizov W | MIN,Shazam!!!,$14,,10,3,12,10,6,0,6,,,2,3,4,$12,,added,Done,MJH,
